"geneID","alz","scz","autism"
"A2M",0.240946145961061,0.522280111676082,0.308294768445194
"NAT1",0.53168978029862,0.0891456757672131,0.946973990648985
"NAT2",0.903403059579432,0.812971341656521,0.388700254494324
"SERPINA3",0.149165367009118,0.284973683767021,0.543682738207281
"AAVS1",0.458225939422846,0.614979009376839,0.401033331407234
"ABCA1",0.51256646332331,0.519598671467975,0.711174718569964
"ABCA2",0.222796657821164,0.025051893433556,0.765149374958128
"ABCA4",0.38894035317935,0.970334088196978,0.801717916037887
"ABL1",0.0209085205569863,0.666877444600686,0.704393055522814
"ABO",0.383490121923387,0.20499015902169,0.994724094634876
"ACACA",0.623462103307247,0.93564799753949,0.605815060436726
"ACADVL",0.220411779591814,0.468326469650492,0.278629967477173
"ACAT1",0.123374730348587,0.304407666670159,0.1776817899663
"ASIC2",0.834365415619686,0.828903814312071,0.602957838214934
"ACHE",0.789429204072803,0.744789328426123,0.436339855194092
"ACO1",0.898559709312394,0.561474158894271,0.420076889218763
"ACO2",0.745486686006188,0.468239208683372,0.0976425129920244
"ACP3",0.0465419935062528,0.519693252397701,0.489047584822401
"ACTB",0.765713611152023,0.894021651241928,0.419982092920691
"ACTG1",0.151693541090935,0.256896901642904,0.585999633418396
"ACTG2",0.437543230131269,0.557394935749471,0.988876736490056
"ACVRL1",0.406056284438819,0.78415141813457,0.951692018425092
"ADA",0.560566144762561,0.254660048056394,0.864886713214219
"ADAM10",0.515078050550073,0.675711283925921,0.198366387514398
"ADARB1",0.307825803989545,0.655816540354863,0.636825085384771
"ADCY2",0.941982733085752,0.761475878534839,0.990892155095935
"ADCYAP1",0.0584346591494977,0.881963171064854,0.388070323504508
"ADD3",0.346236540004611,0.369985118275508,0.923185366904363
"PLIN2",0.0979706533253193,0.356128774117678,0.505296018905938
"ADH1B",0.823213588446379,0.0511520279105753,0.438430457608774
"ADH6",0.634867772692814,0.168349112616852,0.242779072606936
"ADM",0.744883181992918,0.650013755541295,0.569196999305859
"ADORA1",0.335717073641717,0.457833317806944,0.23506234632805
"ADORA2A",0.991363592678681,0.0922290033195168,0.114765929058194
"PARP1",0.546707964967936,0.391217546537519,0.584376093000174
"ADRA1A",0.368722985964268,0.653517522616312,0.428382492624223
